Ostrich,Struthio camelus,TC000001
Adelie Penguin,Pygoscelis adeliae,TC000720
Gentoo Penguin,Pygoscelis papua,TC000721
Chinstrap Penguin,Pygoscelis antarcticus,TC000722
Yellow-eyed Penguin,Megadyptes antipodes,TC000723
Little Penguin,Eudyptula minor,TC000724
Jackass Penguin,Spheniscus demersus,TC000725
Humboldt Penguin,Spheniscus humboldti,TC000726
Galapagos Penguin,Spheniscus mendiculus,TC000727
Magellanic Penguin,Spheniscus magellanicus,TC000728
Fiordland Penguin,Eudyptes pachyrhynchus,TC000729
Erect-crested Penguin,Eudyptes sclateri,TC000730
Macaroni Penguin,Eudyptes chrysolophus,TC000731
Royal Penguin,Eudyptes schlegeli,TC000732
Rockhopper Penguin,Eudyptes chrysocome,TC000733
Tristan Penguin,Eudyptes moseleyi,TC000736
Snares Penguin,Eudyptes robustus,TC000737
Yellow-nosed Albatross,Thalassarche chlororhynchos,TC000739
Gray-headed Albatross,Thalassarche chrysostoma,TC000742
Buller's Albatross,Thalassarche bulleri,TC000743
White-capped Albatross,Thalassarche cauta,TC000744
Salvin's Albatross,Thalassarche salvini,TC000745
Chatham Albatross,Thalassarche eremita,TC000746
Black-browed Albatross,Thalassarche melanophris,TC000748
Sooty Albatross,Phoebetria fusca,TC000752
Light-mantled Albatross,Phoebetria palpebrata,TC000753
Royal Albatross,Diomedea epomophora,TC000754
Wandering Albatross,Diomedea exulans,TC000757
Waved Albatross,Phoebastria irrorata,TC000764
Laysan Albatross,Phoebastria immutabilis,TC000765
Black-footed Albatross,Phoebastria nigripes,TC000767
Short-tailed Albatross,Phoebastria albatrus,TC000768
Southern Giant-Petrel,Macronectes giganteus,TC000769
Northern Giant-Petrel,Macronectes halli,TC000770
Northern Fulmar,Fulmarus glacialis,TC000772
Southern Fulmar,Fulmarus glacialoides,TC000776
Antarctic Petrel,Thalassoica antarctica,TC000777
Cape Petrel,Daption capense,TC000778
Snow Petrel,Pagodroma nivea,TC000779
Kerguelen Petrel,Aphrodroma brevirostris,TC000782
Great-winged Petrel,Pterodroma macroptera,TC000783
Kermadec Petrel,Pterodroma neglecta,TC000786
Magenta Petrel,Pterodroma magentae,TC000787
Herald Petrel,Pterodroma arminjoniana,TC000788
Murphy's Petrel,Pterodroma ultima,TC000791
Providence Petrel,Pterodroma solandri,TC000792
Henderson Petrel,Pterodroma atrata,TC000793
Zino's Petrel,Pterodroma madeira,TC000794
Fea's Petrel,Pterodroma feae,TC000795
Soft-plumaged Petrel,Pterodroma mollis,TC000797
Barau's Petrel,Pterodroma baraui,TC000798
White-headed Petrel,Pterodroma lessonii,TC000802
Mottled Petrel,Pterodroma inexpectata,TC000803
Bermuda Petrel,Pterodroma cahow,TC000804
Black-capped Petrel,Pterodroma hasitata,TC000805
Juan Fernandez Petrel,Pterodroma externa,TC000808
Atlantic Petrel,Pterodroma incerta,TC000809
Galapagos Petrel,Pterodroma phaeopygia,TC000810
Hawaiian Petrel,Pterodroma sandwichensis,TC000811
White-necked Petrel,Pterodroma cervicalis,TC000813
Bonin Petrel,Pterodroma hypoleuca,TC000814
Black-winged Petrel,Pterodroma nigripennis,TC000815
Chatham Petrel,Pterodroma axillaris,TC000816
Cook's Petrel,Pterodroma cookii,TC000817
Masatierra Petrel,Pterodroma defilippiana,TC000818
Gould's Petrel,Pterodroma leucoptera,TC000819
Collared Petrel,Pterodroma brevipes,TC013260
Stejneger's Petrel,Pterodroma longirostris,TC000823
Pycroft's Petrel,Pterodroma pycrofti,TC000824
Phoenix Petrel,Pterodroma alba,TC000826
Vanuatu Petrel,Pterodroma occulta,TC000827
Blue Petrel,Halobaena caerulea,TC000829
Fairy Prion,Pachyptila turtur,TC000830
Broad-billed Prion,Pachyptila vittata,TC000831
Salvin's Prion,Pachyptila salvini,TC000832
Antarctic Prion,Pachyptila desolata,TC000833
Slender-billed Prion,Pachyptila belcheri,TC000834
Fulmar Prion,Pachyptila crassirostris,TC000835
Bulwer's Petrel,Bulweria bulwerii,TC000837
Jouanin's Petrel,Bulweria fallax,TC000838
Fiji Petrel,Pseudobulweria macgillivrayi,TC000825
Mascarene Petrel,Pseudobulweria aterrima,TC000799
Tahiti Petrel,Pseudobulweria rostrata,TC000800
Beck's Petrel,Pseudobulweria becki,TC000801
Gray Petrel,Procellaria cinerea,TC000839
White-chinned Petrel,Procellaria aequinoctialis,TC000840
Spectacled Petrel,Procellaria conspicillata,TC000841
Parkinson's Petrel,Procellaria parkinsoni,TC000842
Westland Petrel,Procellaria westlandica,TC000843
Streaked Shearwater,Calonectris leucomelas,TC000845
Cory's Shearwater,Calonectris diomedea,TC000846
Cape Verde Shearwater,Calonectris edwardsii,TC000849
Pink-footed Shearwater,Puffinus creatopus,TC000850
Flesh-footed Shearwater,Puffinus carneipes,TC000851
Great Shearwater,Puffinus gravis,TC000852
Wedge-tailed Shearwater,Puffinus pacificus,TC000854
Buller's Shearwater,Puffinus bulleri,TC000855
Sooty Shearwater,Puffinus griseus,TC000856
Short-tailed Shearwater,Puffinus tenuirostris,TC000857
Christmas Shearwater,Puffinus nativitatis,TC000859
Galapagos Shearwater,Puffinus subalaris,TC000860
Manx Shearwater,Puffinus puffinus,TC000861
Levantine Shearwater,Puffinus yelkouan,TC000862
Balearic Shearwater,Puffinus mauretanicus,TC000863
Hutton's Shearwater,Puffinus huttoni,TC000865
Townsend's Shearwater,Puffinus auricularis,TC000866
Bryan's Shearwater,Puffinus bryani,TC013265
Black-vented Shearwater,Puffinus opisthomelas,TC000870
Fluttering Shearwater,Puffinus gavia,TC000871
Little Shearwater,Puffinus assimilis,TC000872
Barolo Shearwater,Puffinus baroli,TC000878
Boyd's Shearwater,Puffinus boydi,TC000879
Audubon's Shearwater,Puffinus lherminieri,TC000880
Tropical Shearwater,Puffinus bailloni,TC000881
Persian Shearwater,Puffinus persicus,TC000885
Heinroth's Shearwater,Puffinus heinrothi,TC000886
Wilson's Storm-Petrel,Oceanites oceanicus,TC000890
Pincoya Storm-Petrel,Oceanites pincoyae,TC000891
Elliot's Storm-Petrel,Oceanites gracilis,TC000892
Gray-backed Storm-Petrel,Garrodia nereis,TC000895
White-faced Storm-Petrel,Pelagodroma marina,TC000896
European Storm-Petrel,Hydrobates pelagicus,TC000897
White-bellied Storm-Petrel,Fregetta grallaria,TC000900
New Zealand Storm-Petrel,Fregetta maoriana,TC000893
Black-bellied Storm-Petrel,Fregetta tropica,TC000903
Polynesian Storm-Petrel,Nesofregetta fuliginosa,TC000904
Fork-tailed Storm-Petrel,Oceanodroma furcata,TC000905
Ringed Storm-Petrel,Oceanodroma hornbyi,TC000906
Leach's Storm-Petrel,Oceanodroma leucorhoa,TC000907
Swinhoe's Storm-Petrel,Oceanodroma monorhis,TC000913
Ashy Storm-Petrel,Oceanodroma homochroa,TC000914
Band-rumped Storm-Petrel,Oceanodroma castro,TC000915
Monteiro's Storm-Petrel,Oceanodroma monteiroi,TC000916
Cape Verde Storm-Petrel,Oceanodroma jabejabe,TC000917
Wedge-rumped Storm-Petrel,Oceanodroma tethys,TC000919
Black Storm-Petrel,Oceanodroma melania,TC000920
Guadalupe Storm-Petrel,Oceanodroma macrodactyla,TC000921
Markham's Storm-Petrel,Oceanodroma markhami,TC000922
Matsudaira's Storm-Petrel,Oceanodroma matsudairae,TC000923
Tristram's Storm-Petrel,Oceanodroma tristrami,TC000924
Least Storm-Petrel,Oceanodroma microsoma,TC000925
Peruvian Diving-Petrel,Pelecanoides garnotii,TC000930
Common Diving-Petrel,Pelecanoides urinatrix,TC000931
South Georgia Diving-Petrel,Pelecanoides georgicus,TC000932
Magellanic Diving-Petrel,Pelecanoides magellani,TC000933
White-tailed Tropicbird,Phaethon lepturus,TC000935
Red-billed Tropicbird,Phaethon aethereus,TC000939
Red-tailed Tropicbird,Phaethon rubricauda,TC000940
Asian Openbill,Anastomus oscitans,TC000943
African Openbill,Anastomus lamelligerus,TC000944
Black Stork,Ciconia nigra,TC000945
Abdim's Stork,Ciconia abdimii,TC000946
Woolly-necked Stork,Ciconia episcopus,TC000947
Storm's Stork,Ciconia stormi,TC000948
Maguari Stork,Ciconia maguari,TC000949
White Stork,Ciconia ciconia,TC000950
Oriental Stork,Ciconia boyciana,TC000951
Black-necked Stork,Ephippiorhynchus asiaticus,TC000953
Saddle-billed Stork,Ephippiorhynchus senegalensis,TC000954
Jabiru,Jabiru mycteria,TC000955
Lesser Adjutant,Leptoptilos javanicus,TC000956
Marabou Stork,Leptoptilos crumenifer,TC000957
Greater Adjutant,Leptoptilos dubius,TC000958
Wood Stork,Mycteria americana,TC000959
Milky Stork,Mycteria cinerea,TC000960
Yellow-billed Stork,Mycteria ibis,TC000961
Painted Stork,Mycteria leucocephala,TC000962
Ascension Island Frigatebird,Fregata aquila,TC000963
Christmas Island Frigatebird,Fregata andrewsi,TC000964
Magnificent Frigatebird,Fregata magnificens,TC000965
Great Frigatebird,Fregata minor,TC000966
Lesser Frigatebird,Fregata ariel,TC000967
Masked Booby,Sula dactylatra,TC000969
Nazca Booby,Sula granti,TC000970
Blue-footed Booby,Sula nebouxii,TC000972
Peruvian Booby,Sula variegata,TC000973
Brown Booby,Sula leucogaster,TC000974
Red-footed Booby,Sula sula,TC000979
Abbott's Booby,Papasula abbotti,TC000984
Northern Gannet,Morus bassanus,TC000985
Cape Gannet,Morus capensis,TC000986
Australasian Gannet,Morus serrator,TC000987
Little Black Cormorant,Phalacrocorax sulcirostris,TC000989
Flightless Cormorant,Phalacrocorax harrisi,TC000990
Pallas's Cormorant,Phalacrocorax perspicillatus,TC000991
Brandt's Cormorant,Phalacrocorax penicillatus,TC000992
Neotropic Cormorant,Phalacrocorax brasilianus,TC000993
Double-crested Cormorant,Phalacrocorax auritus,TC000994
Indian Cormorant,Phalacrocorax fuscicollis,TC000997
Great Cormorant,Phalacrocorax carbo,TC000998
Cape Cormorant,Phalacrocorax capensis,TC001004
Socotra Cormorant,Phalacrocorax nigrogularis,TC001005
Bank Cormorant,Phalacrocorax neglectus,TC001006
Japanese Cormorant,Phalacrocorax capillatus,TC001007
Red-faced Cormorant,Phalacrocorax urile,TC001008
Pelagic Cormorant,Phalacrocorax pelagicus,TC001009
Red-legged Cormorant,Phalacrocorax gaimardi,TC001010
Magellanic Cormorant,Phalacrocorax magellanicus,TC001011
Guanay Cormorant,Phalacrocorax bougainvillii,TC001012
Pied Cormorant,Phalacrocorax varius,TC001013
Black-faced Cormorant,Phalacrocorax fuscescens,TC001014
Rough-faced Shag,Phalacrocorax carunculatus,TC001015
Bronze Shag,Phalacrocorax chalconotus,TC001016
Chatham Islands Shag,Phalacrocorax onslowi,TC001017
Auckland Islands Shag,Phalacrocorax colensoi,TC001018
Campbell Islands Shag,Phalacrocorax campbelli,TC001019
Bounty Islands Shag,Phalacrocorax ranfurlyi,TC001020
Antarctic Shag,Phalacrocorax bransfieldensis,TC001021
South Georgia Shag,Phalacrocorax georgianus,TC001022
Imperial Cormorant,Phalacrocorax atriceps,TC001023
Heard Island Shag,Phalacrocorax nivalis,TC001026
Crozet Shag,Phalacrocorax melanogenis,TC001027
Kerguelen Shag,Phalacrocorax verrucosus,TC001028
Macquarie Shag,Phalacrocorax purpurascens,TC001029
European Shag,Phalacrocorax aristotelis,TC001030
Spotted Shag,Phalacrocorax punctatus,TC001034
Pitt Island Shag,Phalacrocorax featherstoni,TC001035
Little Pied Cormorant,Phalacrocorax melanoleucos,TC001036
Long-tailed Cormorant,Phalacrocorax africanus,TC001037
Crowned Cormorant,Phalacrocorax coronatus,TC001038
Little Cormorant,Phalacrocorax niger,TC001039
Pygmy Cormorant,Phalacrocorax pygmaeus,TC001040
Anhinga,Anhinga anhinga,TC001042
African Darter,Anhinga rufa,TC001043
Oriental Darter,Anhinga melanogaster,TC001044
Australasian Darter,Anhinga novaehollandiae,TC001045
Great White Pelican,Pelecanus onocrotalus,TC001046
Pink-backed Pelican,Pelecanus rufescens,TC001047
Spot-billed Pelican,Pelecanus philippensis,TC001048
Dalmatian Pelican,Pelecanus crispus,TC001049
Australian Pelican,Pelecanus conspicillatus,TC001050
American White Pelican,Pelecanus erythrorhynchos,TC001051
Brown Pelican,Pelecanus occidentalis,TC001052
Peruvian Pelican,Pelecanus thagus,TC001056
Shoebill,Balaeniceps rex,TC001057
Hamerkop,Scopus umbretta,TC001058
Pinnated Bittern,Botaurus pinnatus,TC001059
American Bittern,Botaurus lentiginosus,TC001060
Great Bittern,Botaurus stellaris,TC001061
Australasian Bittern,Botaurus poiciloptilus,TC001062
Zigzag Heron,Zebrilus undulatus,TC001063
Yellow Bittern,Ixobrychus sinensis,TC001064
Little Bittern,Ixobrychus minutus,TC001065
Black-backed Bittern,Ixobrychus dubius,TC001066
New Zealand Bittern,Ixobrychus novaezelandiae,TC001067
Schrenck's Bittern,Ixobrychus eurhythmus,TC001068
Cinnamon Bittern,Ixobrychus cinnamomeus,TC001069
Dwarf Bittern,Ixobrychus sturmii,TC001070
Black Bittern,Ixobrychus flavicollis,TC001071
Least Bittern,Ixobrychus exilis,TC001072
Stripe-backed Bittern,Ixobrychus involucris,TC001073
Rufescent Tiger-Heron,Tigrisoma lineatum,TC001074
Fasciated Tiger-Heron,Tigrisoma fasciatum,TC001075
Bare-throated Tiger-Heron,Tigrisoma mexicanum,TC001076
Forest Bittern,Zonerodius heliosylus,TC001077
White-crested Bittern,Tigriornis leucolopha,TC001078
Great Blue Heron,Ardea herodias,TC001079
Gray Heron,Ardea cinerea,TC001083
Cocoi Heron,Ardea cocoi,TC001086
Pacific Heron,Ardea pacifica,TC001087
Black-headed Heron,Ardea melanocephala,TC001088
Humblot's Heron,Ardea humbloti,TC001089
White-bellied Heron,Ardea insignis,TC001090
Great-billed Heron,Ardea sumatrana,TC001091
Goliath Heron,Ardea goliath,TC001092
Purple Heron,Ardea purpurea,TC001093
Great Egret,Ardea alba,TC001094
Intermediate Egret,Mesophoyx intermedia,TC001100
White-faced Heron,Egretta novaehollandiae,TC001101
Chinese Egret,Egretta eulophotes,TC001102
Little Egret,Egretta garzetta,TC001103
Western Reef-Heron,Egretta gularis,TC001106
Pacific Reef-Heron,Egretta sacra,TC001109
Snowy Egret,Egretta thula,TC001110
Little Blue Heron,Egretta caerulea,TC001112
Tricolored Heron,Egretta tricolor,TC001113
Reddish Egret,Egretta rufescens,TC001114
Pied Heron,Egretta picata,TC001115
Slaty Egret,Egretta vinaceigula,TC001116
Black Heron,Egretta ardesiaca,TC001117
Cattle Egret,Bubulcus ibis,TC001118
Squacco Heron,Ardeola ralloides,TC001123
Indian Pond-Heron,Ardeola grayii,TC001124
Chinese Pond-Heron,Ardeola bacchus,TC001125
Javan Pond-Heron,Ardeola speciosa,TC001126
Madagascar Pond-Heron,Ardeola idae,TC001127
Rufous-bellied Heron,Ardeola rufiventris,TC001128
Green Heron,Butorides virescens,TC001130
Striated Heron,Butorides striata,TC001134
Agami Heron,Agamia agami,TC001137
Whistling Heron,Syrigma sibilatrix,TC001138
Capped Heron,Pilherodius pileatus,TC001139
Black-crowned Night-Heron,Nycticorax nycticorax,TC001140
Rufous Night-Heron,Nycticorax caledonicus,TC001145
Yellow-crowned Night-Heron,Nyctanassa violacea,TC001146
White-backed Night-Heron,Gorsachius leuconotus,TC001148
White-eared Night-Heron,Gorsachius magnificus,TC001149
Japanese Night-Heron,Gorsachius goisagi,TC001150
Malayan Night-Heron,Gorsachius melanolophus,TC001151
Boat-billed Heron,Cochlearius cochlearius,TC001152
White Ibis,Eudocimus albus,TC001156
Scarlet Ibis,Eudocimus ruber,TC001158
Glossy Ibis,Plegadis falcinellus,TC001159
White-faced Ibis,Plegadis chihi,TC001161
Puna Ibis,Plegadis ridgwayi,TC001162
Madagascar Ibis,Lophotibis cristata,TC001164
Sharp-tailed Ibis,Cercibis oxycerca,TC001165
Green Ibis,Mesembrinibis cayennensis,TC001166
Bare-faced Ibis,Phimosus infuscatus,TC001167
Plumbeous Ibis,Theristicus caerulescens,TC001168
Buff-necked Ibis,Theristicus caudatus,TC001169
Black-faced Ibis,Theristicus melanopis,TC001170
Sacred Ibis,Threskiornis aethiopicus,TC001173
Black-headed Ibis,Threskiornis melanocephalus,TC001174
Australian Ibis,Threskiornis moluccus,TC001175
Straw-necked Ibis,Threskiornis spinicollis,TC001176
Red-naped Ibis,Pseudibis papillosa,TC001177
White-shouldered Ibis,Pseudibis davisoni,TC001178
Giant Ibis,Pseudibis gigantea,TC001179
Waldrapp,Geronticus eremita,TC001180
Bald Ibis,Geronticus calvus,TC001181
Crested Ibis,Nipponia nippon,TC001182
Olive Ibis,Bostrychia olivacea,TC001183
Spot-breasted Ibis,Bostrychia rara,TC001184
Hadada Ibis,Bostrychia hagedash,TC001185
Wattled Ibis,Bostrychia carunculata,TC001186
Eurasian Spoonbill,Platalea leucorodia,TC001187
Royal Spoonbill,Platalea regia,TC001188
African Spoonbill,Platalea alba,TC001189
Black-faced Spoonbill,Platalea minor,TC001190
Yellow-billed Spoonbill,Platalea flavipes,TC001191
Roseate Spoonbill,Platalea ajaja,TC001192
Black Vulture,Coragyps atratus,TC001193
Turkey Vulture,Cathartes aura,TC001194
Lesser Yellow-headed Vulture,Cathartes burrovianus,TC001198
Greater Yellow-headed Vulture,Cathartes melambrotus,TC001199
California Condor,Gymnogyps californianus,TC001201
Andean Condor,Vultur gryphus,TC001202
King Vulture,Sarcoramphus papa,TC001203
Secretary-bird,Sagittarius serpentarius,TC001524
Osprey,Pandion haliaetus,TC001205
Pearl Kite,Gampsonyx swainsonii,TC001234
Black-shouldered Kite,Elanus caeruleus,TC001235
Australian Kite,Elanus axillaris,TC001236
White-tailed Kite,Elanus leucurus,TC001237
Letter-winged Kite,Elanus scriptus,TC001238
Scissor-tailed Kite,Chelictinia riocourii,TC001239
African Harrier-Hawk,Polyboroides typus,TC001319
Madagascar Harrier-Hawk,Polyboroides radiatus,TC001320
Palm-nut Vulture,Gypohierax angolensis,TC001266
Madagascar Serpent-Eagle,Eutriorchis astur,TC001298
Lammergeier,Gypaetus barbatus,TC001268
Egyptian Vulture,Neophron percnopterus,TC001269
Hook-billed Kite,Chondrohierax uncinatus,TC001217
Gray-headed Kite,Leptodon cayanensis,TC001215
White-collared Kite,Leptodon forbesi,TC001216
Long-tailed Honey-buzzard,Henicopernis longicauda,TC001221
Black Honey-buzzard,Henicopernis infuscatus,TC001222
European Honey-buzzard,Pernis apivorus,TC001223
Barred Honey-buzzard,Pernis celebensis,TC001224
Oriental Honey-buzzard,Pernis ptilorhynchus,TC001227
Swallow-tailed Kite,Elanoides forficatus,TC001232
African Cuckoo-Hawk,Aviceda cuculoides,TC001210
Madagascar Cuckoo-Hawk,Aviceda madagascariensis,TC001211
Jerdon's Baza,Aviceda jerdoni,TC001212
Pacific Baza,Aviceda subcristata,TC001213
Black Baza,Aviceda leuphotes,TC001214
Square-tailed Kite,Lophoictinia isura,TC001230
Black-breasted Kite,Hamirostra melanosternon,TC001231
Red-headed Vulture,Sarcogyps calvus,TC001283
White-headed Vulture,Trigonoceps occipitalis,TC001282
Cinereous Vulture,Aegypius monachus,TC001280
Lappet-faced Vulture,Torgos tracheliotus,TC001281
Hooded Vulture,Necrosyrtes monachus,TC001267
White-backed Vulture,Gyps africanus,TC001270
White-rumped Vulture,Gyps bengalensis,TC001271
Indian Vulture,Gyps indicus,TC001272
Slender-billed Vulture,Gyps tenuirostris,TC001273
Rueppell's Griffon,Gyps rueppellii,TC001274
Himalayan Griffon,Gyps himalayensis,TC001276
Eurasian Griffon,Gyps fulvus,TC001277
Cape Griffon,Gyps coprotheres,TC001278
Nicobar Serpent-Eagle,Spilornis klossi,TC001291
Sulawesi Serpent-Eagle,Spilornis rufipectus,TC001292
Mountain Serpent-Eagle,Spilornis kinabaluensis,TC001293
Crested Serpent-Eagle,Spilornis cheela,TC001294
Philippine Serpent-Eagle,Spilornis holospilus,TC001295
Andaman Serpent-Eagle,Spilornis elgini,TC001296
Great Philippine Eagle,Pithecophaga jefferyi,TC001486
Bateleur,Terathopius ecaudatus,TC001290
Congo Serpent-Eagle,Dryotriorchis spectabilis,TC001297
Short-toed Eagle,Circaetus gallicus,TC001284
Beaudouin's Snake-Eagle,Circaetus beaudouini,TC001285
Black-breasted Snake-Eagle,Circaetus pectoralis,TC001286
Brown Snake-Eagle,Circaetus cinereus,TC001287
Fasciated Snake-Eagle,Circaetus fasciolatus,TC001288
Banded Snake-Eagle,Circaetus cinerascens,TC001289
Bat Hawk,Macheiramphus alcinus,TC001233
New Guinea Eagle,Harpyopsis novaeguineae,TC001485
Crested Eagle,Morphnus guianensis,TC001483
Harpy Eagle,Harpia harpyja,TC001484
Crowned Hawk-Eagle,Stephanoaetus coronatus,TC001523
Changeable Hawk-Eagle,Nisaetus limnaeetus,TC001511
Crested Hawk-Eagle,Nisaetus cirrhatus,TC013425
Flores Hawk-Eagle,Nisaetus floris,TC001512
Mountain Hawk-Eagle,Nisaetus nipalensis,TC001513
Legge's Hawk-Eagle,Nisaetus kelaarti,TC012651
Blyth's Hawk-Eagle,Nisaetus alboniger,TC001514
Javan Hawk-Eagle,Nisaetus bartelsi,TC001515
Sulawesi Hawk-Eagle,Nisaetus lanceolatus,TC001516
Philippine Hawk-Eagle,Nisaetus philippensis,TC001517
Pinsker's Hawk-Eagle,Nisaetus pinskeri,TC012686
Wallace's Hawk-Eagle,Nisaetus nanus,TC001518
Martial Eagle,Polemaetus bellicosus,TC001509
Rufous-bellied Eagle,Lophotriorchis kienerii,TC001507
Black Hawk-Eagle,Spizaetus tyrannus,TC001519
